Filer,View,Title,Dept/Board,File Type,Date Filed,Amended
"Matsumura, Kent R.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11408.pdf),Principal,Department of Education,Gift,02/29/2016,false
"Buto, Julie N.",Form (http://files.hawaii.gov/ethics/disc/2016/GiftDisc_8980.pdf),Program Director,Judiciary,Gift,02/25/2016,false
"Kane, Emmit A.",Form (http://files.hawaii.gov/ethics/disc/2016/GiftDisc_8976.pdf),"Board Member, Commissioner",Employees' Retirement System,Gift,02/19/2016,false
"Williams, Thomas",Form (http://files.hawaii.gov/ethics/disc/2016/GiftDisc_8975.pdf),Executive Director,Department of Budget and Finance,Gift,02/19/2016,false
"Chow, Michelle R.F.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11379.pdf),RPN,Department of Health,Gift,02/05/2016,false
"Ahyo, Kaliko K.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11378.pdf),Outpatient Clinical Assistant,Department of Health,Gift,02/05/2016,false
"Matsumoto, Lauren K.",Form (http://files.hawaii.gov/ethics/disc/2016/FinShort_8961.pdf),"Legislator, District 45",House of Representatives,Financial,02/03/2016,true
"Cullen, Ty J.K.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8940.pdf),"Legislator, District 39",House of Representatives,Financial,02/01/2016,false
"Pouha, Nafetalai N.F.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8939.pdf),"Legislator, District 47",House of Representatives,Financial,02/01/2016,false
"Kouchi, Ronald D.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8938.pdf),"Legislator, District 8",Senate,Financial,02/01/2016,false
"Creagan, Richard P.",Form (http://files.hawaii.gov/ethics/disc/2016/FinShort_8933.pdf),"Legislator, District 5",House of Representatives,Financial,02/01/2016,true
"Kidani, Michelle N.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8932.pdf),"Legislator, District 18",Senate,Financial,02/01/2016,false
"Lowen, Nicole E.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8927.pdf),"Legislator, District 6",House of Representatives,Financial,02/01/2016,false
"Tupola, Andria P.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8926.pdf),"Legislator, District 43",House of Representatives,Financial,02/01/2016,false
"Onishi, Richard H.K.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8920.pdf),"Legislator, District 3",House of Representatives,Financial,02/01/2016,false
"Johanson, Aaron L.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11243.pdf),"Legislator, District 31",House of Representatives,Financial,02/01/2016,false
"Slom, Samuel M.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11207.pdf),"Legislator, District 9",Senate,Financial,02/01/2016,false
"Lee, Christopher Kalani Cushman",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8951.pdf),"Legislator, District 51",House of Representatives,Financial,02/01/2016,false
"McDermott, Robert C.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8950.pdf),"Legislator, District 40",House of Representatives,Financial,02/01/2016,false
"Fukumoto Chang, Beth Keiko",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8946.pdf),"Legislator, District 36",House of Representatives,Financial,02/01/2016,false
"Matsumoto, Lauren K.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8945.pdf),"Legislator, District 45",House of Representatives,Financial,02/01/2016,false
"Wakai, Glenn Satoru",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8944.pdf),"Legislator, District 15",Senate,Financial,02/01/2016,false
"Ing, Mark Kaniela",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8941.pdf),"Legislator, District 11",House of Representatives,Financial,02/01/2016,false
"Brower, Thomas M.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11218.pdf),"Legislator, District 22",House of Representatives,Financial,02/01/2016,false
"Belatti, Della Au",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8887.pdf),"Legislator, District 24",House of Representatives,Financial,02/01/2016,false
"Souki, Joseph Mark",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8914.pdf),"Legislator, District 8",House of Representatives,Financial,02/01/2016,false
"Espinda, Nolan P.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11206.pdf),Director,Department of Public Safety,Financial,02/01/2016,false
"Belatti, Della Au",Form (http://files.hawaii.gov/ethics/disc/2016/FinShort_8896.pdf),"Legislator, District 24",House of Representatives,Financial,02/01/2016,true
"Nakashima, Mark M.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8895.pdf),"Legislator, District 1",House of Representatives,Financial,02/01/2016,false
"Har, Sharon E.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8890.pdf),"Legislator, District 42",House of Representatives,Financial,02/01/2016,false
"Jordan, Georgette J.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8888.pdf),"Legislator, District 44",House of Representatives,Financial,02/01/2016,false
"Harimoto, Breene Y.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8878.pdf),"Legislator, District 16",Senate,Financial,01/31/2016,false
"Ihara, Les S.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8885.pdf),"Legislator, District 10",Senate,Financial,01/31/2016,false
"Choy, Isaac William",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8882.pdf),"Legislator, District 23",House of Representatives,Financial,01/31/2016,false
"Takayama, Gregg T.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8879.pdf),"Legislator, District 34",House of Representatives,Financial,01/31/2016,false
"Riviere, Gilbert R.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8886.pdf),"Legislator, District 23",Senate,Financial,01/31/2016,false
"Saiki, Scott K.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8877.pdf),"Legislator, District 26",House of Representatives,Financial,01/31/2016,false
"Oshiro, Marcus R.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8884.pdf),"Legislator, District 46",House of Representatives,Financial,01/31/2016,false
"Keohokalole, Jarrett K.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8868.pdf),"Legislator, District 48",House of Representatives,Financial,01/30/2016,false
"Hashem, Mark Jun",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8871.pdf),"Legislator, District 18",House of Representatives,Financial,01/30/2016,false
"Galuteria, Brickwood M.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11208.pdf),"Legislator, District 12",Senate,Financial,01/30/2016,false
"Inouye, Lorraine Rodero",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8800.pdf),"Legislator, District 4",Senate,Financial,01/29/2016,false
"Baker, Rosalyn H.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8863.pdf),"Legislator, District 6",Senate,Financial,01/29/2016,false
"Yamane, Ryan Ichiro",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8861.pdf),"Legislator, District 37",House of Representatives,Financial,01/29/2016,false
"Tokuda, Jill Naomi",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11199.pdf),"Legislator, District 24",Senate,Financial,01/29/2016,false
"English, J. Kalani",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11198.pdf),"Legislator, District 7",Senate,Financial,01/29/2016,false
"Thielen, Laura H.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11196.pdf),"Legislator, District 25",Senate,Financial,01/29/2016,true
"Nishimoto, Scott Y.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8831.pdf),"Legislator, District 21",House of Representatives,Financial,01/29/2016,false
"Morikawa, Daynette S.P.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8799.pdf),"Legislator, District 16",House of Representatives,Financial,01/29/2016,false
"Kawakami, Derek S.K.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11200.pdf),"Legislator, District 14",House of Representatives,Financial,01/28/2016,false
"Chun Oakland, Suzanne N.J.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11201.pdf),"Legislator, District 13",Senate,Financial,01/28/2016,false
"Yuen, Stanford B.C.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11202.pdf),"Board Member, Commissioner",University of Hawaii Board of Regents,Financial,01/28/2016,false
"Kawakami, Derek S.K.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-11230.pdf),"Legislator, District 14",House of Representatives,Financial,01/28/2016,true
"Kawakami, Derek S.K.",Form (http://files.hawaii.gov/ethics/disc/2012/Kfx10Dis-11229.pdf),"Legislator, District 14",House of Representatives,Financial,01/28/2016,true
"Kawakami, Derek S.K.",Form (http://files.hawaii.gov/ethics/disc/2013/Kfx10Dis-11228.pdf),"Legislator, District 14",House of Representatives,Financial,01/28/2016,true
"Kawakami, Derek S.K.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-11231.pdf),"Legislator, District 14",House of Representatives,Financial,01/28/2016,true
"San Buenaventura, Joy A.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8787.pdf),"Legislator, District 4",House of Representatives,Financial,01/28/2016,false
"Creagan, Richard P.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8786.pdf),"Legislator, District 5",House of Representatives,Financial,01/28/2016,false
"Espero, William Calip",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8784.pdf),"Legislator, District 19",Senate,Financial,01/28/2016,false
"DeCoite, Lynn P.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11126.pdf),"Legislator, District 13",House of Representatives,Financial,01/28/2016,false
"Takumi, Roy M.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8767.pdf),"Legislator, District 35",House of Representatives,Financial,01/28/2016,false
"Ito, Kenneth T.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8761.pdf),"Legislator, District 49",House of Representatives,Financial,01/28/2016,false
"Kawakami, Derek S.K.",Form (http://files.hawaii.gov/ethics/disc/2016/FinShort_8760.pdf),"Legislator, District 14",House of Representatives,Financial,01/28/2016,true
